id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2022-09-26T15:19:02;PENDING;33498;IDEAL;Cambridgeshire invoice Buckinghamshire;1
2;2022-09-26T06:22:48;CANCELLED;25943;IDEAL;bypassing Flat West;2
3;2022-09-26T21:45:00;REFUNDED;70368;CREDIT_CARD;program;2
4;2022-09-26T15:13:45;PAID;6346;IDEAL;COM;1
5;2022-09-26T20:16:46;PENDING;23194;IDEAL;program Loan Iranian;2
6;2022-09-27T01:27:21;PENDING;74315;IDEAL;invoice;2
7;2022-09-27T03:29:33;COMPLETED;46169;CREDIT_CARD;bleeding-edge;2
8;2022-09-27T02:34:17;CANCELLED;26007;CREDIT_CARD;Afghanistan Research;2
9;2022-09-26T21:59:06;COMPLETED;9536;IDEAL;generating;1
10;2022-09-27T01:20:53;COMPLETED;49243;CREDIT_CARD;override;1
